2024-10-18 03:44:49: 9, 5.55, 18.19, 9.4, 18.10.24, 2024-10-17 14:54:07
2024-10-18 03:45:20: ('10', 5.58, 18.23, 10.1, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 03:45:20: 10, 5.58, 18.23, 10.1, 18.10.24, 2024-10-17 14:54:07
2024-10-18 06:36:48: ('1', 5.52, 18.19, 8.5, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 06:36:48: 1, 5.52, 18.19, 8.5, 18.10.24, 2024-10-17 14:54:07
2024-10-18 06:38:25: ('2', 5.56, 18.1, 9.2, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 06:38:25: 2, 5.56, 18.1, 9.2, 18.10.24, 2024-10-17 14:54:07
2024-10-18 06:38:56: ('3', 5.58, 18.09, 9.1, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 06:38:56: 3, 5.58, 18.09, 9.1, 18.10.24, 2024-10-17 14:54:07
2024-10-18 06:40:24: ('4', 5.56, 18.19, 9.1, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 06:40:24: 4, 5.56, 18.19, 9.1, 18.10.24, 2024-10-17 14:54:07
2024-10-18 06:40:55: ('5', 5.6, 18.19, 10.1, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 06:40:55: 5, 5.6, 18.19, 10.1, 18.10.24, 2024-10-17 14:54:07
2024-10-18 06:41:26: ('6', 5.55, 18.1, 9.0, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 06:41:26: 6, 5.55, 18.1, 9.0, 18.10.24, 2024-10-17 14:54:07
2024-10-18 06:41:57: ('7', 5.59, 18.18, 10.0, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 06:41:57: 7, 5.59, 18.18, 10.0, 18.10.24, 2024-10-17 14:54:07
2024-10-18 06:42:28: ('8', 5.59, 18.18, 9.6, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 06:42:28: 8, 5.59, 18.18, 9.6, 18.10.24, 2024-10-17 14:54:07
2024-10-18 06:42:59: ('9', 5.58, 18.13, 9.4, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 06:42:59: 9, 5.58, 18.13, 9.4, 18.10.24, 2024-10-17 14:54:07
2024-10-18 06:43:30: ('10', 5.61, 18.25, 9.9, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 06:43:30: 10, 5.61, 18.25, 9.9, 18.10.24, 2024-10-17 14:54:07
2024-10-18 06:44:29: ('1', 5.57, 18.18, 9.9, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 06:44:29: 1, 5.57, 18.18, 9.9, 18.10.24, 2024-10-17 14:54:07
2024-10-18 06:44:56: ('2', 5.59, 18.12, 11.0, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 06:44:56: 2, 5.59, 18.12, 11.0, 18.10.24, 2024-10-17 14:54:07
2024-10-18 06:45:28: ('3', 5.55, 18.18, 10.0, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 06:45:28: 3, 5.55, 18.18, 10.0, 18.10.24, 2024-10-17 14:54:07
2024-10-18 06:45:59: ('4', 5.54, 18.19, 10.7, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 06:45:59: 4, 5.54, 18.19, 10.7, 18.10.24, 2024-10-17 14:54:07
2024-10-18 06:46:30: ('5', 5.55, 18.18, 10.5, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 06:46:30: 5, 5.55, 18.18, 10.5, 18.10.24, 2024-10-17 14:54:07
2024-10-18 06:47:01: ('6', 5.52, 18.18, 10.0, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 06:47:01: 6, 5.52, 18.18, 10.0, 18.10.24, 2024-10-17 14:54:07
2024-10-18 06:47:32: ('7', 5.55, 18.1, 9.9, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 06:47:32: 7, 5.55, 18.1, 9.9, 18.10.24, 2024-10-17 14:54:07
2024-10-18 06:48:03: ('8', 5.56, 18.13, 10.5, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 06:48:03: 8, 5.56, 18.13, 10.5, 18.10.24, 2024-10-17 14:54:07
2024-10-18 06:48:34: ('9', 5.55, 18.19, 9.9, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 06:48:34: 9, 5.55, 18.19, 9.9, 18.10.24, 2024-10-17 14:54:07
2024-10-18 06:49:06: ('10', 5.5, 18.1, 9.6, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 06:49:06: 10, 5.5, 18.1, 9.6, 18.10.24, 2024-10-17 14:54:07
