FILTER KE DATA TERBARU;
"2024-12-21 11:03:01,348 [ERROR]";
"2024-12-21 11:02:56,280 [ERROR]";
"2024-12-21 11:02:51,053 [ERROR]";
"2024-12-21 11:02:45,805 [ERROR]";
"2024-12-21 10:59:29,867 [ERROR] Serial FAILED: could not open port 'COM11': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)";
2024-12-21 11:48:52,629 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:48:57,640 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:49:02,656 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:49:07,658 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:49:12,676 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:49:17,686 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:49:22,703 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:49:27,720 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:49:32,731 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:49:37,751 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:49:42,770 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:49:47,785 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:49:52,800 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:49:57,810 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:50:02,828 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:50:07,838 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:50:12,851 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:50:17,868 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:50:22,881 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:50:27,901 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:50:32,917 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:50:37,935 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:50:42,950 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:50:47,961 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:50:52,981 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:50:57,997 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:51:03,005 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:51:08,017 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:51:13,036 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:51:18,045 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:51:23,054 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:51:28,057 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:51:33,067 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:51:38,081 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:51:43,093 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:51:48,107 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:51:53,127 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:51:58,129 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:52:03,141 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:52:08,153 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:52:13,172 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:52:18,189 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:52:23,190 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:52:28,192 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:52:33,201 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
