2025-01-23 10:36:55: {'h_value': '12.9', 'd_value': '18.19', 't_value': '5.58', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '10', 'time_insert': '10:36:55', 'created_date': '2025-01-23'}
2025-01-23 10:37:18: {'h_value': '12.1', 'd_value': '18.19', 't_value': '5.57', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '2', 'time_insert': '10:37:18', 'created_date': '2025-01-23'}
2025-01-23 10:37:23: {'h_value': '13.8', 'd_value': '18.21', 't_value': '5.63', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '3', 'time_insert': '10:37:23', 'created_date': '2025-01-23'}
2025-01-23 10:37:28: {'h_value': '12.3', 'd_value': '18.18', 't_value': '5.56', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '4', 'time_insert': '10:37:28', 'created_date': '2025-01-23'}
2025-01-23 10:37:33: {'h_value': '12.2', 'd_value': '18.19', 't_value': '5.56', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '5', 'time_insert': '10:37:33', 'created_date': '2025-01-23'}
2025-01-23 10:37:38: {'h_value': '12.6', 'd_value': '18.13', 't_value': '5.56', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '6', 'time_insert': '10:37:38', 'created_date': '2025-01-23'}
2025-01-23 10:37:43: {'h_value': '12.1', 'd_value': '18.11', 't_value': '5.58', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '7', 'time_insert': '10:37:43', 'created_date': '2025-01-23'}
2025-01-23 10:37:48: {'h_value': '12.8', 'd_value': '18.11', 't_value': '5.58', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '8', 'time_insert': '10:37:48', 'created_date': '2025-01-23'}
2025-01-23 10:37:53: {'h_value': '12.1', 'd_value': '18.13', 't_value': '5.54', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '9', 'time_insert': '10:37:53', 'created_date': '2025-01-23'}
2025-01-23 10:37:58: {'h_value': '12.9', 'd_value': '18.19', 't_value': '5.58', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '10', 'time_insert': '10:37:58', 'created_date': '2025-01-23'}
2025-01-23 10:38:22: {'h_value': '12.1', 'd_value': '18.19', 't_value': '5.57', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '2', 'time_insert': '10:38:22', 'created_date': '2025-01-23'}
2025-01-23 10:38:27: {'h_value': '13.8', 'd_value': '18.21', 't_value': '5.63', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '3', 'time_insert': '10:38:27', 'created_date': '2025-01-23'}
2025-01-23 10:38:32: {'h_value': '12.3', 'd_value': '18.18', 't_value': '5.56', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '4', 'time_insert': '10:38:32', 'created_date': '2025-01-23'}
2025-01-23 10:38:37: {'h_value': '12.2', 'd_value': '18.19', 't_value': '5.56', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '5', 'time_insert': '10:38:37', 'created_date': '2025-01-23'}
