2024-10-24 10:06:41: ('4', 5.57, 18.17, 11.7, '15.10.24', '2024-10-24 10:06:22')
2024-10-24 10:06:46: ('5', 5.63, 18.19, 12.0, '15.10.24', '2024-10-24 10:06:22')
2024-10-24 10:07:15: ('2', 5.55, 18.24, 10.6, '15.10.24', '2024-10-24 10:07:06')
2024-10-24 10:07:20: ('3', 5.7, 18.13, 11.6, '15.10.24', '2024-10-24 10:07:06')
2024-10-24 10:07:25: ('4', 5.57, 18.17, 11.7, '15.10.24', '2024-10-24 10:07:06')
2024-10-24 10:07:30: ('5', 5.63, 18.19, 12.0, '15.10.24', '2024-10-24 10:07:06')
2024-10-24 10:08:05: ('2', 5.55, 18.24, 10.6, '15.10.24', '2024-10-24 10:07:56')
2024-10-24 10:08:10: ('3', 5.7, 18.13, 11.6, '15.10.24', '2024-10-24 10:07:56')
2024-10-24 10:08:15: ('4', 5.57, 18.17, 11.7, '15.10.24', '2024-10-24 10:07:56')
2024-10-24 10:08:20: ('5', 5.63, 18.19, 12.0, '15.10.24', '2024-10-24 10:07:56')
2024-10-24 10:10:39: ('2', 5.55, 18.24, 10.6, '15.10.24', '2024-10-24 10:10:29')
2024-10-24 10:10:44: ('3', 5.7, 18.13, 11.6, '15.10.24', '2024-10-24 10:10:29')
2024-10-24 10:10:49: ('4', 5.57, 18.17, 11.7, '15.10.24', '2024-10-24 10:10:29')
2024-10-24 10:10:54: ('5', 5.63, 18.19, 12.0, '15.10.24', '2024-10-24 10:10:29')
2024-10-24 10:15:07: ('2', 5.55, 18.24, 10.6, '15.10.24', '2024-10-24 10:14:58')
2024-10-24 10:15:12: ('3', 5.7, 18.13, 11.6, '15.10.24', '2024-10-24 10:14:58')
2024-10-24 10:15:17: ('4', 5.57, 18.17, 11.7, '15.10.24', '2024-10-24 10:14:58')
2024-10-24 10:15:22: ('5', 5.63, 18.19, 12.0, '15.10.24', '2024-10-24 10:14:58')
2024-10-24 10:16:33: ('2', 5.55, 18.24, 10.6, '15.10.24', '2024-10-24 10:16:24')
2024-10-24 10:16:38: ('3', 5.7, 18.13, 11.6, '15.10.24', '2024-10-24 10:16:24')
2024-10-24 10:16:43: ('4', 5.57, 18.17, 11.7, '15.10.24', '2024-10-24 10:16:24')
2024-10-24 10:16:48: ('5', 5.63, 18.19, 12.0, '15.10.24', '2024-10-24 10:16:24')
2024-10-24 10:17:45: ('2', 5.55, 18.24, 10.6, '15.10.24', '2024-10-24 10:17:36')
2024-10-24 10:17:50: ('3', 5.7, 18.13, 11.6, '15.10.24', '2024-10-24 10:17:36')
2024-10-24 10:17:55: ('4', 5.57, 18.17, 11.7, '15.10.24', '2024-10-24 10:17:36')
2024-10-24 10:18:00: ('5', 5.63, 18.19, 12.0, '15.10.24', '2024-10-24 10:17:36')
